Self-contained mixed benchmark wrappers generated by generate_selfcontained_mixed_wrappers.m
Variables follow the fixed cyclic pattern C,K,D,C,D,K,...
Heterogeneity strategies apply ONLY to continuous variables.

baseline_1/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=baseline, kappa=1)
moderate_1e4/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=moderate, kappa=10000)
progressive_1e6/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=baseline, kappa=1)
moderate_1e4/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=moderate, kappa=10000)
progressive_1e6/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/aluffi_pentini_k30_2D.m    (p=2, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/becker_lago_k29_2D.m    (p=3, n=2, strategy=baseline, kappa=1)
moderate_1e4/becker_lago_k29_2D.m    (p=3, n=2, strategy=moderate, kappa=10000)
progressive_1e6/becker_lago_k29_2D.m    (p=3, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/becker_lago_k29_2D.m    (p=3, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/becker_lago_k29_2D.m    (p=3, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/becker_lago_k29_2D.m    (p=3, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/becker_lago_k29_2D.m    (p=3, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/becker_lago_k29_2D.m    (p=3, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/bohachevsky_k42_2D.m    (p=4, n=2, strategy=baseline, kappa=1)
moderate_1e4/bohachevsky_k42_2D.m    (p=4, n=2, strategy=moderate, kappa=10000)
progressive_1e6/bohachevsky_k42_2D.m    (p=4, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/bohachevsky_k42_2D.m    (p=4, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/bohachevsky_k42_2D.m    (p=4, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/bohachevsky_k42_2D.m    (p=4, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/bohachevsky_k42_2D.m    (p=4, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/bohachevsky_k42_2D.m    (p=4, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/branin_hoo_k86_2D.m    (p=5, n=2, strategy=baseline, kappa=1)
moderate_1e4/branin_hoo_k86_2D.m    (p=5, n=2, strategy=moderate, kappa=10000)
progressive_1e6/branin_hoo_k86_2D.m    (p=5, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/branin_hoo_k86_2D.m    (p=5, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/branin_hoo_k86_2D.m    (p=5, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/branin_hoo_k86_2D.m    (p=5, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/branin_hoo_k86_2D.m    (p=5, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/branin_hoo_k86_2D.m    (p=5, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/cauchy_k58_4D.m    (p=6, n=4, strategy=baseline, kappa=1)
moderate_1e4/cauchy_k58_4D.m    (p=6, n=4, strategy=moderate, kappa=10000)
progressive_1e6/cauchy_k58_4D.m    (p=6, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/cauchy_k58_4D.m    (p=6, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/cauchy_k58_4D.m    (p=6, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/cauchy_k58_4D.m    (p=6, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/cauchy_k58_4D.m    (p=6, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/cauchy_k58_4D.m    (p=6, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=baseline, kappa=1)
moderate_1e4/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=moderate, kappa=10000)
progressive_1e6/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
